precipitation,temp_max,temp_min,wind,weather
0.0,12.8,5.0,4.7,drizzle
10.9,10.6,2.8,4.5,rain
0.7865387549516,11.685059408521441,7.184050867814007,2.232855266432042,rain
20.3,12.2,5.6,4.7,snow
1.3,8.9,2.8,6.1,sun
2.5,4.4,2.2,2.2,rain
0.03213156823837628,7.249416519876173,2.7713116709684145,2.2474424853043535,rain
0.0,10.0,2.8,2.0,fog
4.3,9.4,5.0,3.4,rain
1.0,6.1,0.6,3.4,rain
0.0,6.1,-1.1,5.1,sun
0.0,6.1,-1.7,1.9,sun
0.0,5.0,-2.8,1.3,sun
4.133627136206314,4.344574581251638,0.5179080325552293,5.335392681036224,snow
5.3,1.1,-3.3,3.2,rain
2.5,1.7,-2.8,5.0,snow
8.1,3.3,0.0,5.6,snow
19.8,0.0,-2.8,5.0,snow
15.2,-1.1,-2.8,1.6,rain
13.5,7.2,-1.1,2.3,snow
3.0,8.3,3.3,8.2,rain
6.1,6.7,2.2,4.8,rain
0.0,8.3,1.1,3.6,rain
8.6,10.0,2.2,5.1,rain
8.1,8.9,4.4,5.4,rain
4.8,8.9,1.1,4.8,rain
0.0,6.7,-2.2,1.4,snow
0.0,6.7,0.6,2.2,rain
27.7,9.4,3.9,4.5,rain
3.6,8.3,6.1,5.1,rain
1.8,9.4,6.1,3.9,rain
13.5,8.9,3.3,2.7,rain
0.0,8.3,1.7,2.6,sun
0.0,14.4,2.2,5.3,sun
0.0,15.6,5.0,4.3,sun
0.0,13.9,1.7,2.9,sun
0.0,16.1,1.7,5.0,sun
0.35841393984554387,15.57689128775383,7.802857312965218,5.347705068159063,rain
2.8,10.0,5.0,2.7,rain
2.5,11.1,7.8,2.4,rain
2.3897362662362043,12.806799445560296,6.70361097318155,3.096293045142753,rain
0.8,8.9,5.6,3.4,rain
1.0,8.3,5.0,1.3,rain
11.4,7.2,4.4,1.4,rain
2.5,6.7,1.1,3.1,rain
0.0,7.2,0.6,1.8,drizzle
1.8,7.2,3.3,2.1,rain
17.3,10.0,4.4,3.4,rain
6.4,6.7,3.9,8.1,rain
0.0,6.7,2.2,4.7,sun
3.0051976275019214,7.785012755362123,1.804443537658961,2.8787035733236106,rain
0.8,10.0,7.8,7.5,rain
8.6,10.0,2.8,5.9,rain
0.0,8.3,2.8,3.9,drizzle
11.4,6.7,4.4,3.5,fog
0.0,7.2,2.8,6.4,rain
1.3,5.0,-1.1,3.4,snow
0.0,6.7,-2.2,3.0,sun
3.6,6.7,-0.6,4.2,snow
0.8,5.0,1.1,7.0,snow
0.0,6.1,1.1,3.1,sun
2.0,6.7,3.9,5.1,rain
0.0,12.2,6.7,7.0,sun
0.0,10.6,6.7,5.6,rain
